rank,artist_names,track_name,streams,week_date,artist_type
32,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",Golden,276844,2026-02-19,
33,"Lady Gaga, Bruno Mars",Die With A Smile,274835,2026-02-19,
34,Ravyn Lenae,Love Me Not,269667,2026-02-19,
35,Bad Bunny,DtMF,269097,2026-02-19,
36,Anggis Devaki,Dirimu Yang Dulu,263792,2026-02-19,
37,"The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)",260206,2026-02-19,
38,"Dave, Tems",Raindance (feat. Tems),255449,2026-02-19,
39,Rombongan Bodonk Koplo,Kasih Tau Mama (Malam Minggu),254158,2026-02-19,
40,Pamungkas,Monolog,252631,2026-02-19,
41,ALYPH,Ingat,250055,2026-02-19,
42,dia,EEEE A,244269,2026-02-19,
43,"Tenxi, Naykilla, Jemsii",Garam & Madu (Sakit Dadaku),238639,2026-02-19,
44,Budak Kacamata,Bintang,234744,2026-02-19,
45,"薛家燕, Jaspers Lai, 3P",HORSEH,234268,2026-02-19,
46,ILLIT,NOT CUTE ANYMORE,228280,2026-02-19,
47,Ara Johari,Menjaga Jodoh Orang Lain,227887,2026-02-19,
48,Ariana Grande,we can't be friends (wait for your love),224801,2026-02-19,
49,"Danny Koo, Jasmine C, Chris 官杰皓, Miki咏瑄, Janelle Jiahuii",你好我好新年好,217349,2026-02-19,
50,Bruno Mars,It Will Rain,213480,2026-02-19,
51,Insomniacks,Sempurna,212441,2026-02-19,
52,Lana Del Rey,Cinnamon Girl,211234,2026-02-19,
53,LNGSHOT,Moonwalkin',210173,2026-02-19,
54,Gigi Perez,Sailor Song,209678,2026-02-19,
55,The Marías,No One Noticed,209498,2026-02-19,
56,"dia, Tenxi",SENCY,205072,2026-02-19,
57,Raim Laode,Lesung Pipi,204294,2026-02-19,
58,Taylor Swift,Opalite,203772,2026-02-19,
59,Natasya Sabella,Menerima Luka,203709,2026-02-19,
60,Nuca,"Masa ini, Nanti, dan Masa Indah Lainnya",202475,2026-02-19,
61,"Charlie Puth, Selena Gomez",We Don't Talk Anymore (feat. Selena Gomez),200903,2026-02-19,
62,"Rombongan Bodonk Koplo, Ncum",Calon Mantu Idaman (feat. Ncum),200868,2026-02-19,
63,D’MASIV,Cinta Ini Membunuhku,200044,2026-02-19,
64,DJ Xen,DJ SO ASU – Pelukan Yang Hangat,197717,2026-02-19,
65,The Script,The Man Who Can't Be Moved,197692,2026-02-19,
66,One Direction,Night Changes,194348,2026-02-19,
67,The Lantis,Bunga Maaf,193785,2026-02-19,
68,Kerispatih,Tapi Bukan Aku,193547,2026-02-19,
69,Hyper Act,Harapan,192939,2026-02-19,
70,Seventeen,Untuk Mencintaimu,192369,2026-02-19,
71,Batas Senja,Kita Usahakan Lagi,192156,2026-02-19,
72,Insomniacks,Pulang,192128,2026-02-19,
73,Arctic Monkeys,I Wanna Be Yours,191994,2026-02-19,
74,Batas Senja,Nanti Kita Seperti Ini,191344,2026-02-19,
75,Tyla,CHANEL,191299,2026-02-19,
76,"林明禎, Danny Koo, Tomato李明鸿, Phei Yong",Money Happy 都拿拿,186748,2026-02-19,
77,3P,时光大耳窿,186489,2026-02-19,
78,Insomniacks,Reminisensi,186050,2026-02-19,
79,Lyodra,Pesan Terakhir,183069,2026-02-19,
80,Andmesh,Anugerah Terindah,182882,2026-02-19,
81,Anuar Zain,Sedetik Lebih,180465,2026-02-19,
82,Hyper Act,Takkan Pergi,180418,2026-02-19,
83,LNGSHOT,Never Let Go,178460,2026-02-19,
84,Bruno Mars,That's What I Like,176594,2026-02-19,
85,Sabrina Carpenter,Manchild,176482,2026-02-19,
86,Hazama,Relakan Jiwa,174823,2026-02-19,
87,Cup of Joe,Multo,173486,2026-02-19,
88,Cakra Khan,Kekasih Bayangan,172609,2026-02-19,
89,"Jung Kook, Latto",Seven (feat. Latto) (Explicit Ver.),172326,2026-02-19,
90,Zara Larsson,Lush Life,171241,2026-02-19,
91,Luqman Faiz,Kepuraanmu,171134,2026-02-19,
92,"Rizky Febian, Adrian Khalif",Alamak,170473,2026-02-19,
93,Sufian Suhaimi,Di Matamu,169927,2026-02-19,
94,"Sean Kingston, Justin Bieber",Eenie Meenie,169537,2026-02-19,
95,Olivia Dean,Man I Need,169359,2026-02-19,
96,ROSÉ,number one girl,167529,2026-02-19,
97,"Maroon 5, Wiz Khalifa",Payphone,167390,2026-02-19,
98,SZA,Nobody Gets Me,166371,2026-02-19,
99,Bruno Mars,Talking to the Moon,165502,2026-02-19,
100,Gracie Abrams,That’s So True,165230,2026-02-19,
101,Zivilia,Aishiteru 2,165182,2026-02-19,
102,Iklim,Bukan Ku Tak Sudi,165090,2026-02-19,
103,SZA,Snooze,163748,2026-02-19,
104,"PinkPantheress, Zara Larsson",Stateside + Zara Larsson,162455,2026-02-19,
105,Mojo,Romancinta,162076,2026-02-19,
106,Hindia,everything u are,161918,2026-02-19,
107,1119,Omg新年到,161509,2026-02-19,
108,Daniel Caesar,Always,161367,2026-02-19,
109,Bruno Mars,Just the Way You Are,161066,2026-02-19,
110,Joji,SLOW DANCING IN THE DARK,160930,2026-02-19,
111,The 1975,About You,160925,2026-02-19,
112,"DJ Snake, Justin Bieber",Let Me Love You,160588,2026-02-19,
113,"Kendrick Lamar, SZA",luther (with sza),160377,2026-02-19,
114,Cigarettes After Sex,Cry,159267,2026-02-19,
115,RAYE,WHERE IS MY HUSBAND!,158907,2026-02-19,
116,SAMSONS,Kenangan Terindah,158107,2026-02-19,
117,Kehlani,Folded,158095,2026-02-19,
118,"Toton Caribo, Wizz Baker, Fresly Nikijuluw",Ngapain Repot,158068,2026-02-19,
119,d4vd,Here With Me,157910,2026-02-19,
120,CORTIS,FaSHioN,157908,2026-02-19,
121,"Daniel Caesar, H.E.R.",Best Part (feat. H.E.R.),157783,2026-02-19,
122,Khifnu,Merindumu lagi,157383,2026-02-19,
123,Mahalini,Bawa Dia Kembali,157328,2026-02-19,
124,"Zynakal, Zamir Harith, Mojack Hafiz, Bel Janni",Dalam Diam,157041,2026-02-19,
125,Reedzwann,Suarasi Sering Salah,156861,2026-02-19,
126,Charlie Puth,Attention,156800,2026-02-19,
127,Andra & The Backbone,Sempurna,156605,2026-02-19,
128,CORTIS,GO!,156591,2026-02-19,
129,Drama Band,Biarkanlah,155868,2026-02-19,
130,Marcell,Firasat,155766,2026-02-19,
131,"Ecko Show, Juan Reza, Chesylino",Orang Baru Lebe Gacor,155605,2026-02-19,
132,"钟盛忠, Stella Chung, 娃娃, 钟旭辉, 孙琪欢, 郑雪钧, 冯韦诚, 李永钧",新年好马,154599,2026-02-19,
133,James Arthur,Car's Outside,154027,2026-02-19,
134,Bruno Mars,When I Was Your Man,153768,2026-02-19,
135,"Zizan Razak, Kaka Azraff",Bawaku Pergi,153671,2026-02-19,
136,"Suara Kayu, Feby Putri",Kembali Pulang,152882,2026-02-19,
137,Noh Salleh,Rahsia Tuhan,152759,2026-02-19,
138,Justin Bieber,Sorry,152399,2026-02-19,
139,New West,Those Eyes,152275,2026-02-19,
140,"The Weeknd, Daft Punk",Starboy,151437,2026-02-19,
141,Ella,Sembilu,151423,2026-02-19,
142,Sal Priadi,Ada titik-titik di ujung doa,150930,2026-02-19,
143,Kerispatih,Mengenangmu,150918,2026-02-19,
144,Cigarettes After Sex,Apocalypse,150095,2026-02-19,
145,Cherpen,Pasti,149914,2026-02-19,
146,Hindia,Rumah Ke Rumah,149783,2026-02-19,
147,"Feby Putri, Fiersa Besari",Runtuh,148126,2026-02-19,
148,The Weeknd,Die For You,147017,2026-02-19,
149,Coldplay,Sparks,146826,2026-02-19,
150,"Kendrick Lamar, SZA","All The Stars (with SZA) - From ""Black Panther: The Album""",146776,2026-02-19,
151,"Justin Bieber, Chance the Rapper",Confident,145475,2026-02-19,
152,Nadhif Basalamah,jatuh cinta lagi,145344,2026-02-19,
153,yung kai,blue,144939,2026-02-19,
154,"ROSÉ, Bruno Mars",APT.,144072,2026-02-19,
155,Olivia Rodrigo,traitor,143963,2026-02-19,
156,Justin Bieber,Ghost,143863,2026-02-19,
157,Wali,Yank,143502,2026-02-19,
158,Noah,Separuh Aku,142985,2026-02-19,
159,Coldplay,Yellow,142965,2026-02-19,
160,The Walters,I Love You So,142939,2026-02-19,
161,Ruth B.,Dandelions,142901,2026-02-19,
162,Bruno Mars,Locked out of Heaven,142781,2026-02-19,
163,Fieya Julia,Perasaanku,142332,2026-02-19,
164,Raim Laode,Komang,142298,2026-02-19,
165,Dhruv,double take,142125,2026-02-19,
166,Black,Sofea Jane,142051,2026-02-19,
167,MY ASTRO,大团圆,142046,2026-02-19,
168,Jinbara,Kasihnya Laila,141655,2026-02-19,
169,Fabio Asher,Rumah Singgah,141504,2026-02-19,
170,IamNeeta,Sakit,141296,2026-02-19,
171,Afgan,Jodoh Pasti Bertemu,140337,2026-02-19,
172,IVE,BANG BANG,139995,2026-02-19,
173,The Marías,Sienna,139609,2026-02-19,
174,Radiohead,Let Down,139576,2026-02-19,
175,HWASA,Good Goodbye,139480,2026-02-19,
176,Ed Sheeran,Perfect,139079,2026-02-19,
177,Exists,Alasanmu,138631,2026-02-19,
178,"B.o.B, Bruno Mars",Nothin' on You (feat. Bruno Mars),137858,2026-02-19,
179,For Revenge,Serana,137834,2026-02-19,
180,Exist,Rahsia Pohon Cemara,137708,2026-02-19,
181,"Dato' Sri Siti Nurhaliza, Ade Govinda",Menamakanmu Cinta,137517,2026-02-19,
182,Taylor Swift,Style,137465,2026-02-19,
183,Sufian Suhaimi,Terakhir,137380,2026-02-19,
184,"Dato' Sri Siti Nurhaliza, Cakra Khan",Seluruh Cinta,137249,2026-02-19,
185,Madison Beer,Reckless,137209,2026-02-19,
186,Alyah,Sesal Separuh Nyawa,136984,2026-02-19,
187,Ed Sheeran,Photograph,136799,2026-02-19,
188,Lana Del Rey,Young And Beautiful,135986,2026-02-19,
189,BLACKPINK,JUMP,134999,2026-02-19,
190,Hyper Act,Kasih,134872,2026-02-19,
191,Henry Moodie,drunk text,134839,2026-02-19,
192,Repvblik,Sandiwara Cinta,134527,2026-02-19,
193,"Justin Bieber, Nicki Minaj",Beauty And A Beat,134374,2026-02-19,
194,Justin Bieber,Love Yourself,133581,2026-02-19,
195,Armada,Asal Kau Bahagia,133161,2026-02-19,
196,Judika,Aku Yang Tersakiti,133151,2026-02-19,
197,Zivilia,Aishiteru,133105,2026-02-19,
198,Nadin Amizah,Di Akhir Perang,132787,2026-02-19,
199,Sabrina Carpenter,Espresso,132784,2026-02-19,
200,Sofaz,Dan Bila Esok,132716,2026-02-19,
1,Nadhif Basalamah,kota ini tak sama tanpamu,761748,2026-02-19,
2,Idgitaf,Sedia Aku Sebelum Hujan,692439,2026-02-19,
3,Nadhif Basalamah,bergema sampai selamanya,572029,2026-02-19,
4,SIENNA SPIRO,Die On This Hill,505250,2026-02-19,
5,Taylor Swift,The Fate of Ophelia,458159,2026-02-19,
6,Jin,Don’t Say You Love Me,419485,2026-02-19,
7,sombr,back to friends,404268,2026-02-19,
8,"Silet Open Up, Jacson Seran, Juan Reza, Diva Aurel",TABOLA BALE,388263,2026-02-19,
9,"Nadhif Basalamah, Aziz Harun, Aisha Retno",kota ini tak sama tanpamu (with Aziz Harun & Aisha Retno),386138,2026-02-19,
10,Naykilla,SO ASU,381505,2026-02-19,
11,Billie Eilish,WILDFLOWER,381029,2026-02-19,
12,Piche Kota,Bahagia Lagi,376582,2026-02-19,
13,1119,福气马上来,366954,2026-02-19,
14,Alpha,P Ramlee Saloma,359601,2026-02-19,
15,Madison Beer,bittersweet,358862,2026-02-19,
16,Djo,End of Beginning,345876,2026-02-19,
17,Hafiz Suip,Bahagiamu Deritaku,345103,2026-02-19,
18,Nadhif Basalamah,penjaga hati,339263,2026-02-19,
19,Hyper Act,Hanya Aku,336915,2026-02-19,
20,Olivia Dean,So Easy (To Fall In Love),327800,2026-02-19,
21,KATSEYE,Gabriela,323967,2026-02-19,
22,"Tenxi, Suisei, Jemsii",mejikuhibiniu,320512,2026-02-19,
23,"Akbar Chalay, Zynakal, ciloqciliq",Ngga Dulu,318466,2026-02-19,
24,Billie Eilish,BIRDS OF A FEATHER,310473,2026-02-19,
25,She & Him,I Thought I Saw Your Face Today,308489,2026-02-19,
26,"Fourtwnty, Charita Utami",Mangu,305538,2026-02-19,
27,Daniel Caesar,Who Knows,293083,2026-02-19,
28,"Tenxi, Jemsii",Bintang 5,289835,2026-02-19,
29,Sheila On 7,Dan...,288315,2026-02-19,
30,"Naykilla, Tenxi, Jemsii",Kasih Aba Aba,287531,2026-02-19,
31,JENNIE,like JENNIE,285410,2026-02-19,
32,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",Golden,276844,2026-02-19,
33,"Lady Gaga, Bruno Mars",Die With A Smile,274835,2026-02-19,
34,Ravyn Lenae,Love Me Not,269667,2026-02-19,
35,Bad Bunny,DtMF,269097,2026-02-19,
36,Anggis Devaki,Dirimu Yang Dulu,263792,2026-02-19,
37,"The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)",260206,2026-02-19,
38,"Dave, Tems",Raindance (feat. Tems),255449,2026-02-19,
39,Rombongan Bodonk Koplo,Kasih Tau Mama (Malam Minggu),254158,2026-02-19,
40,Pamungkas,Monolog,252631,2026-02-19,
41,ALYPH,Ingat,250055,2026-02-19,
42,dia,EEEE A,244269,2026-02-19,
43,"Tenxi, Naykilla, Jemsii",Garam & Madu (Sakit Dadaku),238639,2026-02-19,
44,Budak Kacamata,Bintang,234744,2026-02-19,
45,"薛家燕, Jaspers Lai, 3P",HORSEH,234268,2026-02-19,
46,ILLIT,NOT CUTE ANYMORE,228280,2026-02-19,
47,Ara Johari,Menjaga Jodoh Orang Lain,227887,2026-02-19,
48,Ariana Grande,we can't be friends (wait for your love),224801,2026-02-19,
49,"Danny Koo, Jasmine C, Chris 官杰皓, Miki咏瑄, Janelle Jiahuii",你好我好新年好,217349,2026-02-19,
50,Bruno Mars,It Will Rain,213480,2026-02-19,
51,Insomniacks,Sempurna,212441,2026-02-19,
52,Lana Del Rey,Cinnamon Girl,211234,2026-02-19,
53,LNGSHOT,Moonwalkin',210173,2026-02-19,
54,Gigi Perez,Sailor Song,209678,2026-02-19,
55,The Marías,No One Noticed,209498,2026-02-19,
56,"dia, Tenxi",SENCY,205072,2026-02-19,
57,Raim Laode,Lesung Pipi,204294,2026-02-19,
58,Taylor Swift,Opalite,203772,2026-02-19,
59,Natasya Sabella,Menerima Luka,203709,2026-02-19,
60,Nuca,"Masa ini, Nanti, dan Masa Indah Lainnya",202475,2026-02-19,
61,"Charlie Puth, Selena Gomez",We Don't Talk Anymore (feat. Selena Gomez),200903,2026-02-19,
62,"Rombongan Bodonk Koplo, Ncum",Calon Mantu Idaman (feat. Ncum),200868,2026-02-19,
63,D’MASIV,Cinta Ini Membunuhku,200044,2026-02-19,
64,DJ Xen,DJ SO ASU – Pelukan Yang Hangat,197717,2026-02-19,
65,The Script,The Man Who Can't Be Moved,197692,2026-02-19,
66,One Direction,Night Changes,194348,2026-02-19,
67,The Lantis,Bunga Maaf,193785,2026-02-19,
68,Kerispatih,Tapi Bukan Aku,193547,2026-02-19,
69,Hyper Act,Harapan,192939,2026-02-19,
70,Seventeen,Untuk Mencintaimu,192369,2026-02-19,
71,Batas Senja,Kita Usahakan Lagi,192156,2026-02-19,
72,Insomniacks,Pulang,192128,2026-02-19,
73,Arctic Monkeys,I Wanna Be Yours,191994,2026-02-19,
74,Batas Senja,Nanti Kita Seperti Ini,191344,2026-02-19,
75,Tyla,CHANEL,191299,2026-02-19,
76,"林明禎, Danny Koo, Tomato李明鸿, Phei Yong",Money Happy 都拿拿,186748,2026-02-19,
77,3P,时光大耳窿,186489,2026-02-19,
78,Insomniacks,Reminisensi,186050,2026-02-19,
79,Lyodra,Pesan Terakhir,183069,2026-02-19,
80,Andmesh,Anugerah Terindah,182882,2026-02-19,
81,Anuar Zain,Sedetik Lebih,180465,2026-02-19,
82,Hyper Act,Takkan Pergi,180418,2026-02-19,
83,LNGSHOT,Never Let Go,178460,2026-02-19,
84,Bruno Mars,That's What I Like,176594,2026-02-19,
85,Sabrina Carpenter,Manchild,176482,2026-02-19,
86,Hazama,Relakan Jiwa,174823,2026-02-19,
87,Cup of Joe,Multo,173486,2026-02-19,
88,Cakra Khan,Kekasih Bayangan,172609,2026-02-19,
89,"Jung Kook, Latto",Seven (feat. Latto) (Explicit Ver.),172326,2026-02-19,
90,Zara Larsson,Lush Life,171241,2026-02-19,
91,Luqman Faiz,Kepuraanmu,171134,2026-02-19,
92,"Rizky Febian, Adrian Khalif",Alamak,170473,2026-02-19,
93,Sufian Suhaimi,Di Matamu,169927,2026-02-19,
94,"Sean Kingston, Justin Bieber",Eenie Meenie,169537,2026-02-19,
95,Olivia Dean,Man I Need,169359,2026-02-19,
96,ROSÉ,number one girl,167529,2026-02-19,
97,"Maroon 5, Wiz Khalifa",Payphone,167390,2026-02-19,
98,SZA,Nobody Gets Me,166371,2026-02-19,
99,Bruno Mars,Talking to the Moon,165502,2026-02-19,
100,Gracie Abrams,That’s So True,165230,2026-02-19,
101,Zivilia,Aishiteru 2,165182,2026-02-19,
102,Iklim,Bukan Ku Tak Sudi,165090,2026-02-19,
103,SZA,Snooze,163748,2026-02-19,
104,"PinkPantheress, Zara Larsson",Stateside + Zara Larsson,162455,2026-02-19,
105,Mojo,Romancinta,162076,2026-02-19,
106,Hindia,everything u are,161918,2026-02-19,
107,1119,Omg新年到,161509,2026-02-19,
108,Daniel Caesar,Always,161367,2026-02-19,
109,Bruno Mars,Just the Way You Are,161066,2026-02-19,
110,Joji,SLOW DANCING IN THE DARK,160930,2026-02-19,
111,The 1975,About You,160925,2026-02-19,
112,"DJ Snake, Justin Bieber",Let Me Love You,160588,2026-02-19,
113,"Kendrick Lamar, SZA",luther (with sza),160377,2026-02-19,
114,Cigarettes After Sex,Cry,159267,2026-02-19,
115,RAYE,WHERE IS MY HUSBAND!,158907,2026-02-19,
116,SAMSONS,Kenangan Terindah,158107,2026-02-19,
117,Kehlani,Folded,158095,2026-02-19,
118,"Toton Caribo, Wizz Baker, Fresly Nikijuluw",Ngapain Repot,158068,2026-02-19,
119,d4vd,Here With Me,157910,2026-02-19,
120,CORTIS,FaSHioN,157908,2026-02-19,
121,"Daniel Caesar, H.E.R.",Best Part (feat. H.E.R.),157783,2026-02-19,
122,Khifnu,Merindumu lagi,157383,2026-02-19,
123,Mahalini,Bawa Dia Kembali,157328,2026-02-19,
124,"Zynakal, Zamir Harith, Mojack Hafiz, Bel Janni",Dalam Diam,157041,2026-02-19,
125,Reedzwann,Suarasi Sering Salah,156861,2026-02-19,
126,Charlie Puth,Attention,156800,2026-02-19,
127,Andra & The Backbone,Sempurna,156605,2026-02-19,
128,CORTIS,GO!,156591,2026-02-19,
129,Drama Band,Biarkanlah,155868,2026-02-19,
130,Marcell,Firasat,155766,2026-02-19,
131,"Ecko Show, Juan Reza, Chesylino",Orang Baru Lebe Gacor,155605,2026-02-19,
132,"钟盛忠, Stella Chung, 娃娃, 钟旭辉, 孙琪欢, 郑雪钧, 冯韦诚, 李永钧",新年好马,154599,2026-02-19,
133,James Arthur,Car's Outside,154027,2026-02-19,
134,Bruno Mars,When I Was Your Man,153768,2026-02-19,
135,"Zizan Razak, Kaka Azraff",Bawaku Pergi,153671,2026-02-19,
136,"Suara Kayu, Feby Putri",Kembali Pulang,152882,2026-02-19,
137,Noh Salleh,Rahsia Tuhan,152759,2026-02-19,
138,Justin Bieber,Sorry,152399,2026-02-19,
139,New West,Those Eyes,152275,2026-02-19,
140,"The Weeknd, Daft Punk",Starboy,151437,2026-02-19,
141,Ella,Sembilu,151423,2026-02-19,
142,Sal Priadi,Ada titik-titik di ujung doa,150930,2026-02-19,
143,Kerispatih,Mengenangmu,150918,2026-02-19,
144,Cigarettes After Sex,Apocalypse,150095,2026-02-19,
145,Cherpen,Pasti,149914,2026-02-19,
146,Hindia,Rumah Ke Rumah,149783,2026-02-19,
147,"Feby Putri, Fiersa Besari",Runtuh,148126,2026-02-19,
148,The Weeknd,Die For You,147017,2026-02-19,
149,Coldplay,Sparks,146826,2026-02-19,
150,"Kendrick Lamar, SZA","All The Stars (with SZA) - From ""Black Panther: The Album""",146776,2026-02-19,
151,"Justin Bieber, Chance the Rapper",Confident,145475,2026-02-19,
152,Nadhif Basalamah,jatuh cinta lagi,145344,2026-02-19,
153,yung kai,blue,144939,2026-02-19,
154,"ROSÉ, Bruno Mars",APT.,144072,2026-02-19,
155,Olivia Rodrigo,traitor,143963,2026-02-19,
156,Justin Bieber,Ghost,143863,2026-02-19,
157,Wali,Yank,143502,2026-02-19,
158,Noah,Separuh Aku,142985,2026-02-19,
159,Coldplay,Yellow,142965,2026-02-19,
160,The Walters,I Love You So,142939,2026-02-19,
161,Ruth B.,Dandelions,142901,2026-02-19,
162,Bruno Mars,Locked out of Heaven,142781,2026-02-19,
163,Fieya Julia,Perasaanku,142332,2026-02-19,
164,Raim Laode,Komang,142298,2026-02-19,
165,Dhruv,double take,142125,2026-02-19,
166,Black,Sofea Jane,142051,2026-02-19,
167,MY ASTRO,大团圆,142046,2026-02-19,
168,Jinbara,Kasihnya Laila,141655,2026-02-19,
169,Fabio Asher,Rumah Singgah,141504,2026-02-19,
170,IamNeeta,Sakit,141296,2026-02-19,
171,Afgan,Jodoh Pasti Bertemu,140337,2026-02-19,
172,IVE,BANG BANG,139995,2026-02-19,
173,The Marías,Sienna,139609,2026-02-19,
174,Radiohead,Let Down,139576,2026-02-19,
175,HWASA,Good Goodbye,139480,2026-02-19,
176,Ed Sheeran,Perfect,139079,2026-02-19,
177,Exists,Alasanmu,138631,2026-02-19,
178,"B.o.B, Bruno Mars",Nothin' on You (feat. Bruno Mars),137858,2026-02-19,
179,For Revenge,Serana,137834,2026-02-19,
180,Exist,Rahsia Pohon Cemara,137708,2026-02-19,
181,"Dato' Sri Siti Nurhaliza, Ade Govinda",Menamakanmu Cinta,137517,2026-02-19,
182,Taylor Swift,Style,137465,2026-02-19,
183,Sufian Suhaimi,Terakhir,137380,2026-02-19,
184,"Dato' Sri Siti Nurhaliza, Cakra Khan",Seluruh Cinta,137249,2026-02-19,
185,Madison Beer,Reckless,137209,2026-02-19,
186,Alyah,Sesal Separuh Nyawa,136984,2026-02-19,
187,Ed Sheeran,Photograph,136799,2026-02-19,
188,Lana Del Rey,Young And Beautiful,135986,2026-02-19,
189,BLACKPINK,JUMP,134999,2026-02-19,
190,Hyper Act,Kasih,134872,2026-02-19,
191,Henry Moodie,drunk text,134839,2026-02-19,
192,Repvblik,Sandiwara Cinta,134527,2026-02-19,
193,"Justin Bieber, Nicki Minaj",Beauty And A Beat,134374,2026-02-19,
194,Justin Bieber,Love Yourself,133581,2026-02-19,
195,Armada,Asal Kau Bahagia,133161,2026-02-19,
196,Judika,Aku Yang Tersakiti,133151,2026-02-19,
197,Zivilia,Aishiteru,133105,2026-02-19,
198,Nadin Amizah,Di Akhir Perang,132787,2026-02-19,
199,Sabrina Carpenter,Espresso,132784,2026-02-19,
200,Sofaz,Dan Bila Esok,132716,2026-02-19,
